170424 15:44:38 DEBUG | Config.device_dict is {'XT1079': 'ZX1C3242JH'}--[device_monitor.py:28]
170424 15:44:38 INFO | device lost--[device_monitor.py:37]
170424 15:44:43 INFO | All device lost--[base.py:42]
170424 15:44:43 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:44:43 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:44:48 INFO | All device lost--[base.py:42]
170424 15:44:48 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:44:48 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:44:53 INFO | All device lost--[base.py:42]
170424 15:44:53 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:44:53 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:44:58 INFO | All device lost--[base.py:42]
170424 15:44:58 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:44:58 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:45:03 INFO | All device lost--[base.py:42]
170424 15:45:03 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:45:03 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:45:08 INFO | All device lost--[base.py:42]
170424 15:45:08 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:45:08 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
170424 15:45:13 INFO | All device lost--[base.py:42]
170424 15:45:13 DEBUG | current device dict: {}--[device_monitor.py:27]
170424 15:45:13 DEBUG | Config.device_dict is {}--[device_monitor.py:28]
